,data,dia_semana,feriado,festas,feriado - dia anterior,feriado - 2 dias anteriores,feriado - dia seguinte,feriado - daqui a 2 dias,festas - dia anterior,festas - 2 dias anteriores,festas - dia seguinte,festas - daqui a 2 dias
621,2019-09-14,Saturday,,,,,,,,,,
622,2019-09-15,Sunday,,,,,,,,,,
623,2019-09-16,Monday,,,,,,,,,,
624,2019-09-17,Tuesday,,,,,,,,,,
625,2019-09-18,Wednesday,,,,,,,,,,
626,2019-09-19,Thursday,,,,,,,,,,
627,2019-09-20,Friday,,,,,,,,,,
628,2019-09-21,Saturday,,,,,,,,,,
629,2019-09-22,Sunday,,,,,,,,,,
630,2019-09-23,Monday,,,,,,,,,,
631,2019-09-24,Tuesday,,,,,,,,,,
632,2019-09-25,Wednesday,,,,,,,,,,
633,2019-09-26,Thursday,,,,,,,,,,
634,2019-09-27,Friday,,,,,,,,,,
635,2019-09-28,Saturday,,,,,,,,,,
636,2019-09-29,Sunday,,,,,,,,,,
637,2019-09-30,Monday,,,,,,,,,,
638,2019-10-01,Tuesday,,,,,,,,,,
639,2019-10-02,Wednesday,,,,,,,,,,
640,2019-10-03,Thursday,,,,,,Implantacao da Republica,,,,
641,2019-10-04,Friday,,,,,Implantacao da Republica,,,,,
642,2019-10-05,Saturday,Implantacao da Republica,,,,,,,,,
643,2019-10-06,Sunday,,,Implantacao da Republica,,,,,,,
644,2019-10-07,Monday,,,,Implantacao da Republica,,,,,,
645,2019-10-08,Tuesday,,,,,,,,,,
646,2019-10-09,Wednesday,,,,,,,,,,
647,2019-10-10,Thursday,,,,,,,,,,
648,2019-10-11,Friday,,,,,,,,,,
649,2019-10-12,Saturday,,,,,,,,,,
650,2019-10-13,Sunday,,,,,,,,,,
651,2019-10-14,Monday,,,,,,,,,,
652,2019-10-15,Tuesday,,,,,,,,,,
653,2019-10-16,Wednesday,,,,,,,,,,
654,2019-10-17,Thursday,,,,,,,,,,
655,2019-10-18,Friday,,,,,,,,,,
656,2019-10-19,Saturday,,,,,,,,,,
657,2019-10-20,Sunday,,,,,,,,,,
658,2019-10-21,Monday,,,,,,,,,,
659,2019-10-22,Tuesday,,,,,,,,,,
660,2019-10-23,Wednesday,,,,,,,,,,
661,2019-10-24,Thursday,,,,,,,,,,
662,2019-10-25,Friday,,,,,,,,,,
663,2019-10-26,Saturday,,,,,,,,,,
664,2019-10-27,Sunday,,,,,,,,,,
665,2019-10-28,Monday,,,,,,,,,,
666,2019-10-29,Tuesday,,,,,,,,,,
667,2019-10-30,Wednesday,,,,,,Dia de Todos os Santos,,,,
668,2019-10-31,Thursday,,,,,Dia de Todos os Santos,,,,,
669,2019-11-01,Friday,Dia de Todos os Santos,,,,,,,,,
670,2019-11-02,Saturday,,,Dia de Todos os Santos,,,,,,,
671,2019-11-03,Sunday,,,,Dia de Todos os Santos,,,,,,
672,2019-11-04,Monday,,,,,,,,,,
673,2019-11-05,Tuesday,,,,,,,,,,
674,2019-11-06,Wednesday,,,,,,,,,,
675,2019-11-07,Thursday,,,,,,,,,,
676,2019-11-08,Friday,,,,,,,,,,Festas S Martinho
677,2019-11-09,Saturday,,,,,,S Martinho,,,Festas S Martinho,Festas S Martinho
678,2019-11-10,Sunday,,Festas S Martinho,,,S Martinho,,,,Festas S Martinho,Festas S Martinho
679,2019-11-11,Monday,S Martinho,Festas S Martinho,,,,,Festas S Martinho,,Festas S Martinho,Festas S Martinho
680,2019-11-12,Tuesday,,Festas S Martinho,S Martinho,,,,Festas S Martinho,Festas S Martinho,Festas S Martinho,Festas S Martinho
681,2019-11-13,Wednesday,,Festas S Martinho,,S Martinho,,,Festas S Martinho,Festas S Martinho,Festas S Martinho,Festas S Martinho
682,2019-11-14,Thursday,,Festas S Martinho,,,,,Festas S Martinho,Festas S Martinho,Festas S Martinho,Festas S Martinho
683,2019-11-15,Friday,,Festas S Martinho,,,,,Festas S Martinho,Festas S Martinho,Festas S Martinho,Festas S Martinho
684,2019-11-16,Saturday,,Festas S Martinho,,,,,Festas S Martinho,Festas S Martinho,Festas S Martinho,Festas S Martinho
685,2019-11-17,Sunday,,Festas S Martinho,,,,,Festas S Martinho,Festas S Martinho,Festas S Martinho,Festas S Martinho
686,2019-11-18,Monday,,Festas S Martinho,,,,,Festas S Martinho,Festas S Martinho,Festas S Martinho,Festas S Martinho
687,2019-11-19,Tuesday,,Festas S Martinho,,,,,Festas S Martinho,Festas S Martinho,Festas S Martinho,
688,2019-11-20,Wednesday,,Festas S Martinho,,,,,Festas S Martinho,Festas S Martinho,,
